15,"‘흥 마스터’ 방송인 붐“쟁이쟁이방송쟁이 쉐킷이즈 뽕테스쿨 발렛파킹 붐이에요!” “판이판이 이판사판이 공사판이 레츠기릿!” “우리끼리 또래끼리 쉐끼리 붐이에요! 읏짜~!” 말이 되는 듯 안 되는 듯, 이 단어 저 단어 모아 외치는데 어느새 시청자들은 배꼽 잡을 준비가 돼 "
16,"최근 MBC 예능 ‘놀면 뭐하니’에서 유재석, 비, 이효리가 그룹 ‘싹쓰리’를 결성했다. 2000년대를 풍미한 이들이 모였다는 사실만으로도 많은 이의 관심을 받았다. 특히 패션 아이콘으로 불리는 이효리의 스타일링이 연일 화제다. 결혼 후 제주도 소길댁으로 불리면서 화장기 없고 수수한 모습을 보였던 이효리는 전성기 "
17,"지난 2020년 5월 14일, 문재인 대통령이 서울 강남구 나라키움청년창업허브에서 열린 '위기를 기회로, 차세대 글로벌 청년 스타트업 간담회'에 참석했다. 이날 간담회에는 지난해와 올해 미국 포브스지가 '30세 이하 아시아 글로벌리더'로 선정한 21명의 스타트업 청년들이 동석했다. 이날 문 대통령은 ""K-스타트업의 위상을 한껏 높여 주었을 뿐만 아"
18,"부모님 생신, 상견례, 어버이날, 기념일처럼 특별한 날을 더 특별하게 만들어주는 케이크! 요즘은 선물 받는 분의 취향이나 건강을 생각해 떡 케이크를 선물하는 추세로 바뀌고 있어요. '앙금 떡 케이크'하면 보통 꽃 모양을 얹은 '앙금 떡 플라워 케이크'를 많이 떠올리는데요, 앙금 크림으로도 생크림 케이크 같은 데코레이션이 가능해요. 건강도 생각하고 아름다움도"
19,"법인이 산 람보르기니·마세라티, 전체 판매량의 70~80% 오너가 회삿돈으로 구입 후 가족 자가용 사용, 탈세 논란 담철곤 오리온 회장, 법인 서 산 슈퍼카 자녀 통학에 쓰기도성공해서 타는 차인 줄 알았는데, 그냥 회사차였네요.최근 온라인 커뮤니티에서 이른바 ‘슈퍼카’라 부르는 람보르기니·페라리 등 억대 수입차"
20,"코로나 영향, 폐렴구균 예방접종률 줄어어린이뿐 아니라 성인 예방접종도 중요 건강할 때 챙겨야 100세시대 끄떡없어 “건강한데 굳이 예방접종을 할 필요가 있나요?” 최근 5년 사이 예방접종을 받은 경험이 있냐고 묻자, 20대 직장인 최모(28)씨는 이같이 말했다. 그는 최근 5년이 아니라 초등학교를 졸업한 후에 예방접종을 "
21,국내 유일 LP 엔지니어전국 돌아다니며 기술 전수받아 기타리스트 신중현이 직접 찾아오기도 최근 LP를 찾는 젊은이들이 늘었다. 작년 LP 판매량은 약 60만장. 3년 전보다 2배 이상 늘었다. 올해 5월11일 2000장 한정으로 발매한 가수 백예린의 LP 앨범은 출시하자마자 동나 팬들의 추가 제작 요구가 쏟아졌다. 백예린의 LP를 만든 곳은 국내에 하나뿐인
22,코로나 지원금 받아 ‘이것’ 샀다매출 늘어난 의외의 품목도 코로나19가 우리를 괴롭힌지도 벌써 5달째. 우리 일상의 많은 부분이 바뀌었다. 돈을 쓰는 곳도 마찬가지. 코로나 사태 이후 사람들은 어디에 돈을 가장 많이 썼을까. 정부가 코로나19 극복을 위해 5월11일부터 지급한 긴급재난지원금. 행정안전부는 6월 10일 8개 카드사(
23,"대한민국 밥상에 365일 오르는 김치를 비롯해 찌개, 볶음 등 한식 요리에 빠지면 섭섭한 기본 식재료가 바로 고추입니다. 붉은 고추, 풋고추, 꽈리고추를 비롯해 최근에는 모닝 고추, 오이고추, 아삭이고 추 등 그 종류도 다양합니다. 고추에는 매운맛을 내는 성분인 ‘캡사이신(capsaicin)’이외에도 비타민C 등 각종 영"
24,"강의나 발표를 할 때, 곤란한 질문이 나올 때가 있죠. 이럴 때는... 우리에게... 불안과 공포가 밀려옵니다...심장은 미친 듯이 펌프질을 하고 심지어 머릿속은 뿌연 연기로 가득 차기도 합니다.이런 상황, 어떻게 극복하면 좋을까요?유형별 대처 방법, 발표 잘하는법을 알려드릴게요! 첫 번째. 내가 모르는 질문이 들어올 때 예상 질문을 30개 정도 미리 준비"
25,최근 반려동물을 키우는 국내 인구는 2020년 기준으로 1500만 명을 넘어섰습니다. 단순한 동물을 넘어서 가족의 한 범위로 여겨질 만큼 애틋함 역시 커져가고 있는 것 같습니다. 하지만 이에 반해 동물 학대는 매년 증가하고 있는 추세입니다. 경찰청 조사결과에 따르면 동물보호법 위반 혐의로 검찰에 송치된 인원이 5년 사이 3배 이상 늘어났다고 하는데요.이게 
26,"승무원들은 한 달에 월급을 두 번 받는다는 사실, 알고 계시나요? 승무원은 과거부터 지금까지도 선망받는 직업으로 손꼽히곤 하는데요. 거기엔 다 이유가 있었나 봅니다. 화려한 유니폼을 입고 세계 곳곳을 누빌 수 있다는 것 말고도 높은 연봉이 큰 부분을 차지할 텐데요. 국내를 대표하는 두 항공사, 대한항공과 아시아나항공의 급여에 대해 자세히 알아보도록 하겠습니"
27,"기업의 법무팀이 Compliance를 위해 활용할 수 있는 법무관리 시스템을 제공 모든 법무 업무를 한곳에서 관리할 수 있는 법무 플랫폼을 클라우드 기반으로 서비스삼성전자에서 계약관리와 서비스 기획업무를 진행한 경험을 바탕으로, CP/SP 계약을 체계적으로 관리하려면 툴이 꼭 필요하다고 느끼고, 거기에서 아이디어를 얻어 사업을 시작했다. 스타트업 '법틀'은"
28,"​토익커 여러분~~ 안녕하세요~~!!오늘은 토익커분들의 실력을 향상시키는토익기출문제 포스팅을 준비했어요!!​토익기출문제 '명사'편을 준비했는데요~""웬 명사?""하시는 분들도 있을 수 있지만 명사는 역대 토익에서 한 번도 빠짐없이꾸준히 출제되어온 빈출 유형이랍니다~~​토익기출문제 '명사'편을 공부하면서명사와 관련하여 어떻게 문제가 ..."
